Latitude,Longitude,SharingUnitID
2.438373,17.47012,BYSU067
2.438748,17.469251,BYSU066
2.438354,17.469079,BYSU065
2.438669,17.468975,BYSU062
2.438721,17.469006,BYSU061
2.438696,17.469063,BYSU060
2.438434,17.470145,BYSU059
2.437448,17.469189,BYSU058
2.437665,17.46914,BYSU057
2.437764,17.469224,BYSU056
2.437748,17.469595,BYSU055
2.437987,17.469596,BYSU054
2.438411,17.469042,BYSU052
2.438592,17.469131,BYSU048
2.438564,17.46916,BYSU047
2.438537,17.469302,BYSU046
2.438403,17.469482,BYSU045
2.438582,17.469607,BYSU044
2.438745,17.469601,BYSU043
2.438652,17.46967,BYSU042
2.438579,17.469688,BYSU041
2.438492,17.469709,BYSU040
2.438181,17.46972,BYSU039
2.438447,17.469913,BYSU036
2.438445,17.46993,BYSU035
2.438193,17.470053,BYSU034
2.438147,17.470075,BYSU033
2.437969,17.469996,BYSU032
2.437988,17.469907,BYSU031
2.438015,17.469842,BYSU030
2.437823,17.469808,BYSU029
2.437848,17.469931,BYSU028
2.437836,17.469983,BYSU027
2.437582,17.470079,BYSU026
2.437361,17.470064,BYSU025
2.437372,17.470022,BYSU024
2.437389,17.469964,BYSU023
2.437298,17.469975,BYSU022
2.437163,17.469835,BYSU021
2.437115,17.469764,BYSU020
2.437058,17.469613,BYSU019
2.437202,17.469646,BYSU017
2.437382,17.469475,BYSU015
2.437173,17.469323,BYSU011