Husband,Wife,Status,Unsure
2055,1028,Married,0
1101,1102,Married,0
1103,1104,Married,0
1108,1107,Married,0
1108,3011,Divorced,0
1110,1109,PolyMarried,0
1110,NA,PolyMarried,0
1110,3085,Divorced,0
1110,2027,Divorced,0
1119,1120,PolyMarried,0
1122,1121,Married,0
1123,2010,Married,0
1124,1116,Married,0
1124,2006,Divorced,0
2000,2001,Married,0
2002,2003,Married,0
2002,3002,Divorced,0
2004,2005,Married,0
2004,2010,Divorced,0
2007,2008,Married,0
2007,2009,Divorced,0
2012,1132,PolyMarried,0
2012,2013,PolyMarried,0
3089,2001,Divorced,0
3089,NA,Married,0
2014,2015,Married,0
2018,2019,Married,0
2018,3123,Divorced,0
3133,3123,Married,0
2020,2021,Married,0
2022,2023,Married,0
2022,2027,Divorced,0
2024,2025,Married,0
2026,2027,Married,0
2038,2039,Married,0
2030,2031,Married,0
2045,2046,Married,0
2048,3145,Married,0
2050,2051,Married,0
2052,2053,Married,0
2568,3013,Married,0
2612,2617,Divorced,0
2899,3079,Married,0
2899,2656,Divorced,0
3003,3115,Divorced,0
3116,3115,Married,0
3004,3009,Married,0
3006,3007,Married,0
3006,3145,Divorced,0
3010,NA,Divorced,0
3027,3023,Married,0
3027,1106,Divorced,0
3040,3041,Married,0
3046,3047,Married,0
3046,3002,Divorced,0
3065,NA,Married,0
3074,3070,Married,0
3075,2521,Married,0
3082,1127,PolyMarried,0
3082,NA,PolyMarried,0
3084,8205,PolyMarried,0
3084,3083,PolyMarried,0
3084,3005,Divorced,0
3091,3092,Married,0
3091,1132,Divorced,0
3134,3135,Married,0
3139,3109,Married,0
3147,2033,Married,0
1113,1114,Married,0
2034,2035,Married,0
9062,2041,Divorced,0
9023,2044,PolyMarried,0
8212,2047,Divorced,0
8129,2587,Married,0
8190,2587,Divorced,0
8261,2999,Divorced,0
NA,2999,Married,0
8178,3001,PolyMarried,0
2012,3001,Divorced,0
NA,3017,Divorced,0
NA,3030,Divorced,0
1119,3032,PolyMarried,0
8174,3044,Married,0
NA,3050,Divorced,0
NA,3063,Married,0
9021,3068,Married,0
8211,3112,Married,0
3065,3122,Married,0
9062,1112,Married,0
1124,8119,Divorced,0
2612,8136,Divorced,0
2899,8267,Divorced,0
3010,8246,Divorced,0
3010,8247,Divorced,0
3133,8104,Divorced,0
3133,8127,Divorced,0
8114,2044,Divorced,0
8212,2047,Divorced,0
8261,2053,Divorced,0
8152,2521,Divorced,0
8168,2617,Divorced,0
3005,8134,Divorced,0
8208,3020,Divorced,0
8132,3050,Divorced,0
8108,3063,Divorced,0
8230,3114,Divorced,0
2651,3115,Divorced,0
2011,1112,Divorced,0
9073,2009,Divorced,0
9073,1109,Divorced,0
1119,8105,Divorced,1